date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
2025-11-05,0.473658956,2.853958333,-0.43,7.3,0
2025-11-06,0.625466222,3.349880952,-2.05,9.38,0
2025-11-07,0.809448189,3.386875,-2.44,7.83,0.508
2025-11-08,1.04811515,0.338125,-6.7,7.68,0
2025-11-09,0.568674835,-2.379157895,-7.95,6.81,0
2025-11-10,0.551079724,2.3846875,-8.2,12.36,0
2025-11-11,0.704390316,7.052916667,-3.74,13.96,0
2025-11-12,0.81517863,3.5740625,-2.22,15.14,0
2025-11-13,0.710072322,6.989270833,-4.63,20.45,0
2025-11-14,0.786004618,7.922916667,5.25,12.51,3.81
2025-11-15,0.864530055,7.5865625,-1.12,12.28,0
2025-11-16,0.358375169,1.6703125,-3.08,5.78,0
2025-11-17,0.347795136,3.293854167,-0.48,8.55,0
2025-11-18,0.352435639,3.220833333,-1.47,6.51,0
2025-11-19,0.343972656,2.191770833,-1.59,4.53,0.762
2025-11-20,0.343491198,2.390208333,0.54,4.43,0
2025-11-21,0.396490107,1.7803125,-4.45,6.87,0
2025-11-22,0.353609776,-1.337291667,-6.54,8.23,0
2025-11-23,0.248106635,-0.769270833,-8.2,6.1,0
2025-11-24,0.311422609,1.4325,-0.33,4.79,0.508
2025-11-25,0.572122711,-2.632604167,-9.22,1.36,0
2025-11-26,0.299773114,-1.601770833,-3.48,1.31,0.508
2025-11-27,0.24458244,-0.496145833,-4.39,4.32,0
2025-11-28,0.263374131,-4.595104167,-10.12,0.56,1.524
2025-11-29,0.20432977,-12.6853125,-20.11,-7.79,0
2025-11-30,0.075490292,-13.600625,-18.86,-7.63,0
2025-12-01,0.165745268,-8.161666667,-12.52,-3.87,0
2025-12-02,0.219799468,-1.515729167,-7.06,0.63,0.762
2025-12-03,0.289766171,-3.171458333,-7.57,0.29,0
2025-12-04,0.409683199,-0.0509375,-1.31,1.05,0.508
2025-12-05,0.244167538,-0.182083333,-3.78,3.56,0.762
2025-12-06,0.27269011,1.4884375,-0.08,3.32,0.508
2025-12-07,0.376824026,1.382395833,-0.64,3.06,0
2025-12-08,0.591493758,4.439375,1.05,8.87,0
2025-12-09,0.892706269,4.285104167,-1.44,8.98,1.778
2025-12-10,0.896000028,5.619895833,-0.57,12.1,0.508
2025-12-11,1.074368359,8.2871875,5.15,12.27,0.508
2025-12-12,0.69285364,7.3625,4.67,11.87,0.508
2025-12-13,1.011429107,4.824479167,-3.65,12.27,0
2025-12-14,0.30679716,-1.943645833,-8.03,7.23,0
2025-12-15,0.495561254,4.592916667,-2.79,11.83,0
2025-12-16,0.772929474,5.2825,2.17,12.72,0
2025-12-17,0.764044596,3.151979167,-1.72,10.21,4.826
2025-12-18,1.131903055,-0.053125,-3.48,5.2,0
2025-12-19,0.613360033,1.067604167,-7.93,8.65,0
2025-12-20,0.601666052,-3.187395833,-8.42,2.06,0
2025-12-21,0.346824123,-4.358958333,-9.24,-1.83,0
2025-12-22,0.111967316,-0.521770833,-5.39,5.17,0
2025-12-23,0.210800013,-2.65125,-7.46,0.75,0.254
2025-12-24,0.161405416,0.081354167,-3.3,10.14,0.254
2025-12-25,0.23184178,2.559791667,0.19,8.24,0
2025-12-26,0.257515044,1.595520833,-2.41,6.99,0
2025-12-27,0.441398547,-5.181666667,-14.67,0.91,0.254
2025-12-28,0.36142654,-10.073125,-18.12,-4.59,0
2025-12-29,0.213400704,-5.042708333,-9.51,-0.15,0
2025-12-30,0.064051503,-5.575208333,-10.3,1.28,0
2025-12-31,0.045807168,-7.343541667,-11.58,0.28,0
