,date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
185,2025-07-04,3.050210321,13.15307692,4.63,21.1,8.840004774
186,2025-07-05,3.392407798,11.7274,3.58,20.42,1.270000686
187,2025-07-06,6.26994108,17.33482759,3.36,26.19,0
188,2025-07-07,6.593951978,20.32442857,5.14,29.83,0
189,2025-07-08,6.120992897,20.42114583,5.6,33.09,0
190,2025-07-09,6.013121821,21.39895833,7.76,32.53,0
191,2025-07-10,5.617925259,18.24229167,6.26,25.48,0
192,2025-07-11,5.969698369,16.7203125,4.76,27.01,0
193,2025-07-12,5.500817324,17.69802083,3.54,30,0
194,2025-07-13,6.324790026,20.24583333,6.14,32.29,0
195,2025-07-14,5.930346864,21.64125,7.33,32.53,0
196,2025-07-15,2.136536799,13.84166667,11.59,16.53,1.430000772
197,2025-07-16,5.214340409,16.5990625,8.41,26.15,0
198,2025-07-17,5.485550584,18.15791667,4.18,28.94,0
199,2025-07-18,6.150201504,18.796875,4.45,30.84,0
200,2025-07-19,4.686356581,18.2753125,7.33,26.95,0
201,2025-07-20,4.738190864,17.39354167,5.85,26.91,0
202,2025-07-21,3.442834054,17.11568182,11.99,25.3,4.590002479
203,2025-07-22,4.542259276,16.0628125,7.1,24.57,0
204,2025-07-23,5.095628723,14.95802083,3.53,25.36,0
205,2025-07-24,5.545982209,16.64625,1.96,29.03,0
206,2025-07-25,5.530934141,19.04239583,3.79,31.14,0
207,2025-07-26,5.026542212,18.05989583,5.42,31.09,0
208,2025-07-27,4.073820044,17.21708333,8.15,29.07,2.720001469
209,2025-07-28,4.505639153,18.1759375,7.22,29.92,0
210,2025-07-29,5.61344848,20.84928571,6.37,31.91,0
211,2025-07-30,5.925788307,20.4996875,6.36,30.27,0
212,2025-07-31,4.881275753,18.605625,7.45,31.23,10.35000559
213,2025-08-01,4.653166531,17.57927083,8.26,28.35,0.160000086
214,2025-08-02,4.245608444,16.4190625,7.81,25.45,0
215,2025-08-03,5.042262131,17.19583333,4.9,28.47,0
216,2025-08-04,3.326590411,15.61864583,6.56,27.61,4.840002614
217,2025-08-05,4.525224113,16.09833333,6.48,25.5,0
218,2025-08-06,3.98447234,17.58989583,5.11,28.07,0.510000275
219,2025-08-07,1.545066688,10.65229167,3.17,15.36,10.7400058
220,2025-08-08,2.121483556,11.209375,4.1,18.02,0.970000524
221,2025-08-09,4.090160941,13.92083333,3.87,23.91,0
222,2025-08-10,4.503237853,16.74104167,5.62,26.84,0
223,2025-08-11,3.923319278,18.37322917,7.58,28.6,0
224,2025-08-12,4.969405695,19.173125,7.33,31.63,0
225,2025-08-13,5.399758651,19.45802083,6.28,31.32,0
226,2025-08-14,5.2891572,17.93354167,4.83,29.31,0
227,2025-08-15,4.829220367,17.05145833,4.68,30.08,0
228,2025-08-16,4.013928515,16.6246875,5.23,29.74,0.87000047
229,2025-08-17,2.923696458,15.16302083,7.16,22.92,2.470001334
230,2025-08-18,3.550117461,16.63364583,5.84,29.97,0
231,2025-08-19,4.848925179,20.70645833,6.71,34.61,0
232,2025-08-20,4.726558074,19.5553125,8.47,31.38,0
233,2025-08-21,4.530725563,16.34729167,5.1,28.5,0
234,2025-08-22,4.170736633,15.95271739,4.26,26.17,0
235,2025-08-23,5.123150693,16.615625,3.05,31.42,0
236,2025-08-24,4.451737773,17.91666667,4.81,31.52,0
237,2025-08-25,4.317067897,18.7446875,5.74,31.99,0
238,2025-08-26,3.40389377,18.37083333,6.1,29.85,0
239,2025-08-27,1.92989552,17.94385417,13.64,22.06,0.170000092
240,2025-08-28,1.247711286,14.92947917,9.67,17.17,4.990002695
241,2025-08-29,3.459207526,16.4496875,8.72,25.76,0
242,2025-08-30,3.919756059,15.42239583,5.65,27.7,0
243,2025-08-31,4.271600329,15.9,3.43,31.3,0
244,2025-09-01,3.893275165,18.46583333,4.28,32.68,0
245,2025-09-02,4.312725096,18.12864583,4.61,33.17,0
246,2025-09-03,3.905833257,17.71239583,4.93,32.36,0
247,2025-09-04,3.129261779,13.65141304,4.52,22.69,0
248,2025-09-05,3.803503657,13.00083333,1.23,25.61,0
249,2025-09-06,3.31809677,14.19697917,2.31,29.44,0
250,2025-09-07,3.133252097,17.360625,7.01,28.73,0
251,2025-09-08,3.396226785,14.95125,4.21,26.24,0
252,2025-09-09,2.285998442,13.10177083,2.27,24.69,0.580000313
253,2025-09-10,2.633833547,14.33,4.12,24.72,0.100000054
254,2025-09-11,1.783037929,11.78416667,2.87,21.81,0.410000221
255,2025-09-12,2.726821052,11.710625,1.25,23.46,0
256,2025-09-13,2.722242647,12.51104167,1.12,24.48,0
257,2025-09-14,2.57450401,12.599375,2.33,25.18,1.860001004
258,2025-09-15,2.162135031,11.74,4.96,17.67,1.140000616
259,2025-09-16,1.933561557,13.11947917,6.94,20.43,0.020000011
260,2025-09-17,2.760305378,12.20052083,1.6,25.41,0
261,2025-09-18,2.869498525,11.6528125,0.25,26.32,0
262,2025-09-19,2.764455223,11.82260417,0.74,27.34,0
263,2025-09-20,2.905723606,12.17354167,0.39,28.29,0
264,2025-09-21,2.040827928,10.76479167,1.34,23.81,0.140000076
265,2025-09-22,2.200572032,9.839791667,0.2,18.89,0
266,2025-09-23,2.630453103,8.406145833,-3.87,24.08,0
267,2025-09-24,2.793593347,11.3240625,-1.14,28.37,0
