,thetar,thetas,alpha,n,ksat,l,thetar_macro,thetas_macro,alpha_macro,n_macro,ksat_macro,l_macro,w,beta,gamma,a,ka,nse
90,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.021034860435382365,0.7322107331431396,0.4354705824149471,6.383618885175667,741.5725541493447,0.5,0.16082851372490367,3.8324378372796737,0.4,1.2535329431634872,0.04153113838226797,-1099.3228090266678
91,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.08919348559393321,0.6508637155687821,0.6409173587671863,5.825658972950507,545.2360575989442,0.5,0.029002181425298694,19.747727226173556,0.4,3.9288510135305286,0.8070758622664272,-1099.3228090266678
92,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.030202939202558298,0.779522922310256,0.6440553106356142,4.828704341001318,948.8482776288643,0.5,0.056819465797604024,10.161073050341619,0.4,2.692974801526963,9.023052103107753,-1099.3228090266678
93,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.03440887741462391,0.2481209343271269,0.7499535976034118,4.244700029855416,130.49764484818732,0.5,0.19090360064605486,16.838577521478513,0.4,1.158554645958685,0.9309854835922251,-1099.3228090266678
94,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.059796107187757054,0.7938650113509558,0.06039313013290738,4.688479910846436,479.5597251944061,0.5,0.13024821987791887,17.418667471233494,0.4,3.840692329241119,6.609222599398824,-1099.3228090266678
95,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0895838674164842,0.33880990080071993,0.05042729256169976,2.984085315388607,378.74960007093733,0.5,0.1709545328075123,5.201179112459226,0.4,5.43518091960767,4.787425870016409,-1099.3228090266678
96,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.03513857157896848,0.2557068263331619,0.323960641565061,3.196380304927886,291.4443652996532,0.5,0.09875227594946827,11.168512926750036,0.4,5.468139890124175,7.798529150128884,-1099.3228090266678
97,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0605476395777175,0.6291327795750716,0.3902394702017313,1.59160748119805,970.8693267598078,0.5,0.1447216040114775,4.952700499968628,0.4,5.125974481495267,3.5977948675048474,-1099.3228090266678
98,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.02703148002040429,0.4659318160762905,0.1228031774207692,2.5372770831033558,833.6457626913301,0.5,0.14519048528857934,3.4473769058803776,0.4,1.115095006481924,6.019523324735795,-1099.3228090266678
99,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06613203120157718,0.3230452268800946,0.03400982185054502,2.6990144401330722,432.7003456239963,0.5,0.06051583253853384,8.395995995551043,0.4,1.140493942546649,5.43761477635554,-1099.3228090266678
100,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.030570996982923027,0.5425280303739349,0.026392661540082966,3.094961981601151,639.9515898372622,0.5,0.2342038752213258,13.359178626883208,0.4,2.6081788744244574,3.755561397464449,-1099.3228090266678
101,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.048482437252047976,0.6080123948457984,0.15838578945482346,6.143021138278182,980.4674547157366,0.5,0.09245530348124553,9.229161844254378,0.4,9.927389783574162,0.4904322401569046,-1099.3228090266678
102,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.01914550007393305,0.581969566399245,0.04479530129809547,5.618924491179876,615.0811516424608,0.5,0.09481639736470417,2.309505222299007,0.4,7.451346057519091,1.487299908020962,-1099.3228090266678
103,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.006015730458877917,0.40640702937870227,0.2695730282544124,3.3928386145445915,393.4487271279332,0.5,0.22671335744142876,9.482357132825497,0.4,9.080105935407508,0.26514679063238206,-1099.3228090266678
104,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.08052237144079606,0.4822995858582889,0.5816078018666617,2.1866165562281514,446.6461858744636,0.5,0.03448381159674678,12.067607683760276,0.4,7.27579641890239,2.237243825782208,-1099.3228090266678
105,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.08862351493065072,0.5130172472562917,0.691943588944617,6.445258383550163,400.4470665483732,0.5,0.07647177179086401,3.331543878495996,0.4,7.494006270509252,9.923560079460293,-1099.3228090266678
106,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06657328621865373,0.5480559481929606,0.7005918277954649,4.1381193684473825,534.1362710852824,0.5,0.24387489258985653,1.1161272508247442,0.4,0.3735391309590737,6.871756421181274,-1099.3228090266678
107,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0063699703411374065,0.2623207257177691,0.3839333557397294,2.12766597449589,789.3543531176222,0.5,0.17401441486284072,14.938352467660176,0.4,1.334532460858187,5.943951905646381,-1099.3228090266678
108,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.030096747925579023,0.5565045509171033,0.13064766356999444,4.632434101317177,473.1387823852958,0.5,0.10471484240454258,19.826124849312258,0.4,1.5596306615678426,2.748569878005199,-1099.3228090266678
